ID,Name,Dialogue,HasChoice,AcceptDialogue,AcceptID,RejectDialogue,RejectID,Favorability,ImagePath
1,송준엽,저기... 혹시 시간 괜찮으시면 저 좀 도와주실 수 있나요? 혼자 하기엔 너무 벅차서요.,TRUE,도와주셔서 정말 감사합니다! 바로 안내해 드릴게요.,2,바쁘신데 어쩔 수 없죠. 다른 분을 찾아보겠습니다.,3,10,A
2,송준엽,정말 다행이네요. 짐이 좀 무거운데 괜찮으시겠어요?,FALSE,"자, 이쪽으로 따라오시면 됩니다. 조심하세요.",4,,,5,B
3,송준엽,아... 역시 바쁘시군요. 알겠습니다. 방해해서 죄송해요.,FALSE,(실망한 기색을 보이며) 그럼 안녕히 가세요.,0,,,-5,A
4,이지은,"어서 오세요! 마침 모험가님께 딱 어울리는 물건이 들어왔는데, 한번 보시겠어요?",TRUE,탁월한 선택이에요! 예쁘게 포장해 드릴게요.,5,음... 이 가격엔 어디서도 못 구하실 텐데요.,6,5,B
5,이지은,탁월한 안목이시네요. 이 물건은 정말 구하기 힘든 거랍니다.,FALSE,거래해 주셔서 감사합니다. 또 오세요!,0,,,0,C
6,이지은,아쉽네요. 더 좋은 물건이 들어오면 그때 다시 들러주세요.,FALSE,"어머, 구경만 하시는군요. 편하게 둘러보세요.",0,,,0,A
7,박민호,"거기 너, 꽤 실력이 좋아 보이는군. 나와 손잡고 큰 건 하나 해볼 생각 없나?",TRUE,내 제안을 받아들이다니 훌륭한 안목이군. 같이 가자.,8,겁쟁이 녀석. 넌 여기서 평생 그렇게 살아라.,9,15,C
8,박민호,역시 말이 통하는군. 내 계획은 완벽해.,FALSE,"좋아, 작전을 시작하지. 내 뒤만 잘 따라와.",10,,,0,B
9,서유리,저기... 제가 여기서 실수한 건 제발 비밀로 해주세요. 알려지면 전 끝장이에요.,TRUE,제 비밀을 지켜주시는 거군요? 정말 다행이에요.,10,결국 소문을 내시겠다는 거군요... 실망입니다.,11,20,C
10,서유리,"휴, 살았다... 정말 감사합니다. 은혜는 절대 잊지 않을게요.",FALSE,앞으로도 잘 부탁드립니다! 믿고 의지할게요.,0,,,10,A
